OBJECTID,PLAN_NUM,PLAN_TITLE,REVIEW_DATE,SUBMIT_DATE,MCP_SIGN_DATE,CCPC_SIGN_DATE,PLAN_ACRES,LOTS_UNITS,BLDG_SQ_FT,PRIMARY_USE,PRIMARY_CODE,PRIMARY_UNITS,PRIMARY_NOTES,SCNDARY_USE,SCNDARY_CODE,SCNDARY_UNITS,TERTIARY_USE,TERTIARY_CODE,TERTIARY_UNITS,EG_ID,LAND_DEV_ID,LAND_DEV_YEAR,DESCRIPTION,PROJECT_NUM,PROJECT_NAME,SHAPEAREA,SHAPELEN
447,LD-06-25-18558,70 E. Second Avenue,2025/07/08 00:00:00+00,2025/06/09 15:15:37+00,,,24.4,155,37125,Residential,Single Family Residential,70,,Residential,Apartment,84,Commercial,Unique,1,6fbfa626-f7f0-4e25-a8ed-e5eb742044b5,PR-006198-2025,2025,"Sketch plan - proposal of 70 SFR, 84 APT units, 37,125sf of commercial retail space & 194 parking spaces. 70 East Second Avenue, Parkesburg Sketch Plan for VISTABLOCK a proposed residential development",PR-006198-2025,70 E. Second Avenue,1060443.17787408,5012.98354266592
448,LD-06-25-18560,Hillside Bulk Foods,2025/07/09 10:40:54+00,2025/06/12 13:06:33+00,2026/02/18 00:00:00+00,2026/03/16 00:00:00+00,3.23,1,1676,Commercial,Addition to Existing,1,,,,0,,,0,dc5ac938-f8e7-4002-b5c5-028a221c0a78,PR-006199-2025,2025,"1,676 square foot building addition",PR-006199-2025,Hillside Bulk Foods,131653.694442824,1558.62669769593
449,LD-06-25-18561,New North Brandywine Middle School,2025/07/17 00:00:00+00,2025/06/23 11:29:54+00,,,46,1,135000,Institutional,School,1,,,,0,,,0,c270de5e-e01b-43ba-a884-c52d184d7370,PR-006200-2025,2025,"Proposal to demo existing school, build a new 135,000 sq. foot school onto a current addition that is being built, new athletic fields & an additional 223 parking spaces.",PR-006200-2025,New North Brandywine Middle School,1944552.73110381,6015.07710643275
450,LD-06-25-18562,Byers Station Amended Final PRD Plans,2025/07/15 00:00:00+00,2025/06/17 15:27:38+00,,,3.89,1,10500,Commercial,Retail,1,,,,0,,,0,523a36ab-e0fc-4a59-bbae-0b049b6c9229,PR-006201-2025,2025,"Proposal 10,500 sf commercial bldg & 63 parking spaces. Amended Final PRD Plan for Byers Station Parcel 5C Lot 2B Phase 2",PR-006201-2025,Byers Station Amended Final PRD Plans,172302.253961336,1873.64613353221
451,LD-06-25-18565,1800 & 1804 Horseshoe Pike,2025/07/17 00:00:00+00,2025/06/18 10:54:10+00,,,27.5,12,97400,Commercial,Unique,12,Retail Storage Facility,,,0,,,0,99fc0747-9e23-4c81-9516-bf39c6d0bec9,PR-006160-2025,2025,"LD = 12 storage buildings on 1 lot totaling 97,400sf, SD = 2 lots into 2 lots (lot line revision). The development will include twelve (12) storage facilities including three (3) climate controlled indoor storage facilities, vehicular circulation, associated grading, utilities, and stormwater management improvements.",PR-006160-2025,1800 & 1804 Horseshoe Pike,1122358.81311834,5003.91947970339
452,LD-06-25-18579,469 Limestone Road,2025/07/23 00:00:00+00,2025/06/23 11:47:58+00,,,7.3,3,23900,Commercial,Unique,2,,Industrial,Cell Tower,1, , ,0,25ba17c1-0003-40bc-90d3-a8c815ef1fac,PR-006136-2025,2025,"Proposed land development: Lot 1 will consist of a 10,500 sq. ft. commercial building with parking, and an existing cell tower facility. Lot 2 will consist of a 9,800 sq. ft. commercial building, a 3,600 sq. ft. storage shed and parking. A stormwater management facility will be constructed on Lot 2 to service both lots.  Refer to CCPC# SD-06-25-18563 for the concurrent subdivision plan.",PR-006136-2025,469 Limestone Road,317832.365228565,2447.24541749055
453,LD-06-25-18584,WCASD - Sarah W. Starkweather Elementary School,2025/07/29 00:00:00+00,2025/06/30 11:51:02+00,2025/09/15 00:00:00+00,2026/03/09 00:00:00+00,37.9,1,8871,Institutional,Addition to Existing,1,,,,0,,,0,cdafb50c-9f3d-4ca1-b380-8530eb957a50,PR-006210-2025,2025,"Three building additions totaling 8,871sf. Removal of existing modular structures and construction of building additions at the existing Sarah Starkweather Elementary School and appurtenant improvements, including stormwater management facilities, new sanitary sewer lines, and playground improvements.",PR-006210-2025,WCASD - Sarah W. Starkweather Elementary School,1610418.68615778,5671.71522731775
454,LD-06-25-18585,"Malvern Educational Properties, LLC Proposed Daycare",2025/08/06 00:00:00+00,2025/07/07 17:53:59+00,,,0.98,1,10608,Institutional,Child Daycare,1,,,,0,,,0,c6464f7d-7ecd-4114-a0c8-e65f2b9c6c07,PR-005964-2024,2025,"Proposed two-story 10,608 square foot child daycare building.",PR-005964-2024,"Malvern Educational Properties, LLC",42674.0461580478,843.398551463238
455,LD-07-17-14987,Ware Presbyterian Village,2017/08/01 00:00:00+00,2017/07/07 00:00:00+00,,,33.9,3,13078,Institutional,Nursing Home/Assisted Living,1,,Residential,Single Family Residential,2,,,0,fd369a5c-bbbd-4d6e-8b39-4701daa471c3,PROJ-1989,2017,"Proposed: 1 assisted living building, 2 SFR, and parking on 1 parcel.",PROJ-1989,Ware Presbyterian Village,1388560.17656721,8180.58810373953
456,LD-07-17-14990,Wollaston Park - Phase 2,2017/08/01 00:00:00+00,2017/07/10 00:00:00+00,,,40.21,1,0,Institutional,Park,1,,,,0,,,0,8593fcf9-0f74-4281-be0a-131d25115cae,PR-004597-2017,2017,"Proposed: parking lot, trails, amphitheater, tot lot, etc.",PR-004597-2017,Wollaston Park - Phase 2,1725976.17269324,5321.3182444786
457,LD-07-17-14992,Croce T. Cataldo & Claudia X. Plata,2017/08/04 00:00:00+00,2017/07/10 00:00:00+00,2017/08/04 00:00:00+00,2017/08/08 00:00:00+00,0.7,1,2169,Commercial,Addition to Existing,1,,,,0,,,0,5bef0c09-f73b-40f9-b0d8-6648226ae1aa,PR-004598-2017,2017,proposed building addition and parking,PR-004598-2017,Croce T. Cataldo & Claudia X. Plata,30537.1322125874,728.185053774355
458,LD-07-17-14993,TruMark Financial Credit Union,2017/08/04 14:32:01+00,2017/07/11 00:00:00+00,2017/11/14 00:00:00+00,2018/02/08 00:00:00+00,0.82,1,2950,Commercial,,1,,,,0,,,0,d52cdb71-4660-4d8e-95c3-34aa69a26599,PR-004599-2017,2017,1 proposed building and parking,PR-004599-2017,Trumark Financial Credit Union,32843.3234378017,716.075918637687
459,LD-07-17-14997,Eland Point Crossing,2017/08/11 15:12:37+00,2017/07/12 00:00:00+00,,,4.625,193,0,Residential,Apartment,193,,,,0,,,0,d995626d-cc81-424c-b933-b56fc3eb3bd3,PR-004600-2017,2017,"Proposed: 193 apartments in 5 buildings, parking, and open space.",PR-004600-2017,Eland Point Crossing,318752.189679476,4130.17075315308
460,LD-07-17-14998,Paoli Walk,2017/08/01 00:00:00+00,2017/07/10 00:00:00+00,2017/09/25 00:00:00+00,2017/09/27 00:00:00+00,3.1,1,0,Residential,Townhouse,1,,,,0,,,0,6f255ed5-2885-44e4-93e0-73e0a1b3117d,PROJ-4079,2017,Proposed retaining wall and pedestrian network modifications to previously recorded plan for 30 THS and 4 lots into 1.,PROJ-4079,Paoli Walk,133512.656216089,1809.26609266996
461,LD-07-17-15012,Fritz Town Center,2017/08/09 00:00:00+00,2017/07/14 00:00:00+00,,,1.85,46,21595,Residential,Apartment,44,,Commercial,Retail,1,Commercial,Restaurant,1,65a1429c-ebe8-4143-9570-f7882abbb3d5,PR-004608-2017,2017,"Proposed: 44 apartments and 21,595 SF retail/restaurant in 3 buildings and parking",PR-004608-2017,Fritz Town Center,80491.0691015087,1507.29412018145
462,LD-07-17-15023,Moser Court,2017/08/18 00:00:00+00,2017/07/25 00:00:00+00,2018/03/14 00:00:00+00,2019/10/03 00:00:00+00,2.16,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,8977b06f-19e7-449f-9148-9594f416d2ba,PR-004613-2017,2017,"Parking lot expansion, 18 spaces",PR-004613-2017,Moser Court,82463.9256933414,1213.58317029625
463,LD-07-18-15486,4060 Edges Mill Rd.,2018/08/02 00:00:00+00,2018/07/03 00:00:00+00,,,6.93,1,19460,Commercial, ,1,,,,0,,,0,dc754d14-68a8-4870-9245-2d83145722e9,PR-004856-2018,2018,Proposed building and parking,PR-004856-2018,4060 Edges Mill Rd,324435.873177107,2829.11765838563
464,LD-07-18-15487,150 Parkside,2018/08/01 00:00:00+00,2018/07/02 00:00:00+00,,,17.88,47,0,Residential,Mobile Home,47,,,,0,,,0,05cc5982-9eb5-42eb-98ec-67f0abf9e7a9,PR-004857-2018,2018,"47 mobile homes, roads, and parking",PR-004857-2018,150 Parkside,761230.029904842,4544.81685443612
465,LD-07-18-15497,Storage First Caln,2018/08/01 11:01:23+00,2018/07/09 12:06:24+00,2019/04/11 00:00:00+00,2019/05/10 00:00:00+00,1.63,1,18050,Commercial, ,1,,,,0,,,0,e0323d22-ef41-44fe-9929-374d1def44ed,PR-004861-2018,2018,5 proposed self-storage buildings,PR-004861-2018,Storage First Caln,53562.6977551056,1174.24216606714
466,LD-07-18-15502,Kaolin Mushrooms,2018/07/24 09:41:30+00,2018/07/11 14:07:58+00,2019/03/18 00:00:00+00,2019/08/21 00:00:00+00,59.74,1,19966,Commercial,Mushroom House,1,,,,0,,,0,a3df4522-f53b-449f-9ffe-af741289e24b,PR-004862-2018,2018,Proposed building (composting),PR-004862-2018,Kaolin Mushrooms,2574964.9127744,12461.1778656247
467,LD-07-18-15504,East Brandywine Center - 2018,2018/08/08 00:00:00+00,2018/07/12 13:50:03+00,2024/06/06 00:00:00+00,2026/02/25 00:00:00+00,20.6,3,70000,Commercial,Retail,3,,,,0,,,0,e771fe8e-6135-4a20-ae30-044e61f4ed3f,PR-004864-2018,2018,Proposed building (Giant grocery store & 2 future retail) and parking,PR-004864-2018,East Brandywine Center - 2018,1336529.66384625,4979.49226034111
468,LD-07-18-15507,Baseball and Softball Fields Improvements,2018/08/14 00:00:00+00,2018/07/17 00:00:00+00,2018/11/26 00:00:00+00,2020/11/17 00:00:00+00,50.3,1,0,Institutional,Sports/Recreation ,1,,,,0,,,0,a0d5ac95-3aaf-4748-9897-63628bfbd168,PR-004867-2018,2018,Proposed renovation of baseball and softball fields.,PR-004867-2018,Baseball and Softball Fields Improvements,2174666.58003614,6036.43536844944
469,LD-07-18-15509,Village at General Warren,2018/08/15 09:51:19+00,2018/07/18 11:36:04+00,2024/06/12 00:00:00+00,2024/08/23 00:00:00+00,8.53,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,5a32b3f8-2183-44f5-bfdc-c2dbbc52daba,PR-004868-2018,2018,Proposed parking lot expansion with 94 new spaces.,PR-004868-2018,Village at General Warren,331987.882900502,2354.71126951084
470,LD-07-18-15521,638-640 Lancaster Avenue,2018/08/14 00:00:00+00,2018/07/24 00:00:00+00,,,1.58,1,2000,Commercial,Addition to Existing,1,,,,0,,,0,2a5b49f2-bd3d-41da-98f2-051213b491c9,PR-004873-2018,2018,Proposed vestibule to connect 2 buildings and parking,PR-004873-2018,638-640 Lancaster Avenue,61592.1198436633,993.573767915499
471,LD-07-18-15527,Willistown Woods WWTP Improvement Project,2018/08/17 00:00:00+00,2018/07/27 00:00:00+00,2019/09/09 00:00:00+00,2019/09/20 00:00:00+00,1.53,1,1350,Institutional,Unique,1,wastewater treatment plant,,,0,,,0,abb00768-0ef1-4b78-b696-b6f13fb96a17,PR-004875-2018,2018,demolish some existing features. new building and other improvements proposed.,PR-004875-2018,Willistown Woods WWTP Improvement Project,53891.9170182508,1120.63983706554
472,LD-07-18-15528,321 Quarry Road Land Development,2018/08/15 14:20:22+00,2018/07/30 11:10:05+00,,,1.67,5,0,Residential,Townhouse,5,,,,0,,,0,f9d6f626-07ed-45de-aaa9-ecc6236caa2e,PR-004876-2018,2018,5 townhouses and open space,PR-004876-2018,321 Quarry Road Land Development,68679.3065284838,1100.18011576637
473,LD-07-18-15531,Natural Lands Trust ,2018/08/17 14:10:57+00,2018/07/31 12:59:54+00,2018/10/15 00:00:00+00,2018/10/16 00:00:00+00,39.5,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,7f7e5be3-a13c-4e7a-89d7-708bd119ae9a,PR-004877-2018,2018,Proposed parking lot,PR-004877-2018,Natural Lands Trust ,686298.484413188,4101.83588423543
474,LD-07-19-15974,"1580, 1600, 1690 and 1692 Russell Road",2019/07/23 00:00:00+00,2019/06/28 00:00:00+00,,,5.78,1,114128,Institutional,Nursing Home/Assisted Living,1,,,,0,,,0,c27cde4f-5d8a-4bcc-b138-4c810f759603,PR-005096-2019,2019,Proposed assisted living facility (127 beds) and parking,PR-005096-2019,"1580, 1600, 1690 and 1692 Russell Road",204621.969148426,2400.78235481324
475,LD-07-19-15977,Peirce Middle School Modular Classroom,2019/07/11 00:00:00+00,2019/07/01 00:00:00+00,2019/07/24 00:00:00+00,2019/08/08 00:00:00+00,14.12,1,2940,Institutional,School,1,,,,0,,,0,346a10b5-45d8-44f3-8c91-3b39bc4c6c1e,PR-005098-2019,2019,proposed modular classroom,PR-005098-2019,Peirce Middle School Modular Classroom,644699.579236192,3426.3074873076
476,LD-07-19-15980,Freedom Life Church,2019/07/18 13:30:35+00,2019/07/05 13:12:15+00,2023/09/12 00:00:00+00,2024/02/15 00:00:00+00,31.44,1,72898,Institutional,Religious Organization,1,,,,0,,,0,3114df0e-3423-4c47-aab3-3f783cafb720,PR-005099-2019,2019,"proposed building (church), parking, and activity fields",PR-005099-2019,Freedom Life Church,1337909.6168598,5222.73035296768
477,LD-07-19-15981,32 Bacton Hill Road,2019/08/05 00:00:00+00,2019/07/08 11:21:30+00,,,3.49,1,400,Industrial, ,1,,,,0,,,0,410d5312-9b43-45d7-b83c-3919c1891ce4,PR-005100-2019,2019,proposed fuel station and pavement,PR-005100-2019,32 Bacton Hill Road,144608.501535969,1691.4945986807
478,LD-07-19-15982,57 Lancaster Avenue,2019/08/07 00:00:00+00,2019/07/08 13:52:57+00,2019/12/11 00:00:00+00,2020/01/23 00:00:00+00,2.31,1,6960,Commercial,Addition to Existing,1,,,,0,,,0,a63fc0f4-63fd-4df2-9484-e056563bd559,PR-005101-2019,2019,Proposed building addition ,PR-005101-2019,57 Lancaster Avenue,101213.797547629,1918.23714795701
479,LD-07-19-15996,Kings Highway Elementary School,2019/08/09 00:00:00+00,2019/07/12 00:00:00+00,,,23.51,1,77600,Institutional,Educational Facility,1,,,,0,,,0,69ca1562-25c1-4432-9e0d-d2a35f357146,PR-005107-2019,2019,demolish existing building and construct a new school and parking,PR-005107-2019,Kings Highway Elementary School,971216.634290881,4499.52131349789
480,LD-07-19-15998,Springer Property,2019/08/02 13:13:24+00,2019/07/15 00:00:00+00,,,9.52,4,116400,Commercial,Unique,4,,,,0,,,0,7dd325c3-835f-44f2-a3a6-6002b6ed6564,PR-005109-2019,2019,4 proposed buildings (self storage facility),PR-005109-2019,Springer Property,416353.495620478,3001.92418159417
481,LD-07-19-16000,Eagle Village Parking Expansion,2019/07/30 00:00:00+00,2019/07/15 00:00:00+00,2019/08/19 00:00:00+00,2019/11/12 00:00:00+00,9.2,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,9dead92d-f2ee-425e-9199-d46caf5258c2,PR-004680-2017,2019,proposed parking,PR-004680-2017,Eagle Village Parking Expansion,409277.301056046,2746.21371046052
482,LD-07-19-16011,DSSC Chase Bank,2019/08/16 00:00:00+00,2019/07/26 11:16:26+00,,,13.4,1,3028,Commercial,Bank,1,,,,0,,,0,7696f9ae-e6bc-455d-8124-a0dc6f304f0e,PR-005110-2019,2019,Proposed building (bank) and changing parking,PR-005110-2019,DSSC Chase Bank,625968.113521791,3247.53684589916
483,LD-07-20-16394,"DP Fritztown Center, LLC",2020/07/28 00:00:00+00,2020/07/02 10:47:38+00,2020/07/20 00:00:00+00,2021/01/20 00:00:00+00,2.06,67,0,Residential,Apartment,67,,,,0,,,0,be11a3b5-56b9-4d6b-b3a8-9d310e3b8e50,PR-005282-2020,2020,67 apartments in 1 building and parking,PR-005282-2020,"DP Fritztown Center, LLC",80491.0691015087,1507.29412018145
484,LD-07-20-16400,101 Ponds Edge Drive,2020/08/06 13:51:32+00,2020/07/13 13:49:40+00,2021/02/23 00:00:00+00,2021/03/08 00:00:00+00,3.4,1,11055,Commercial,Unique,1,,,,0,,,0,1ab27ccf-7fb7-49a4-96d9-f676f31ed03d,PR-005284-2020,2020,"proposed 11,055 SF addition, with 94 parking spaces",PR-005284-2020,101 Ponds Edge Drive,148946.999590839,1478.26363547924
485,LD-07-20-16401,Issac B. & Annie F. Stoltzfus,2020/07/27 00:00:00+00,2020/07/13 14:31:18+00,2020/11/10 00:00:00+00,2021/01/13 00:00:00+00,4.01,1,3440,Agricultural,Unique,1,,,,0,,,0,f518a9dc-b9b0-45a5-850d-b4684bb12f55,PR-005285-2020,2020,"proposed 3,120 SF bldg. with 17 parking spaces",PR-005285-2020,Issac B. & Annie F. Stoltzfus,165310.002601837,1792.29636983024
486,LD-07-20-16403,Micronic Manufacturing USA,2020/07/27 00:00:00+00,2020/07/13 00:00:00+00,2022/06/07 00:00:00+00,2025/05/13 00:00:00+00,6.52,1,28564,Industrial,Manufacturing,1,,,,0,,,0,106cdc65-f79b-4d5b-995c-948237170086,PR-005287-2020,2020,"Proposed 28,564 square foot industrial building",PR-005287-2020,Micronic Manufacturing USA,282310.053317917,2458.80218180748
487,LD-07-20-16405,Jones Motor Tract,2020/08/11 14:30:18+00,2020/07/13 00:00:00+00,,,106.1,119,0,Residential,Townhouse,119,, , ,0, , ,0,440d7d38-8e55-4096-9aab-f6568d9d8958,PR-005288-2020,2020,119 townhouse units.,PR-005288-2020,Jones Motor Tract,7621194.76635205,15448.1654445153
488,LD-07-20-16406,John Rock - Building 2,2020/08/07 00:00:00+00,2020/07/14 15:20:22+00,2021/05/04 00:00:00+00,2021/09/08 00:00:00+00,16.08,1,88000,Industrial,Warehouse,1,,,,0,,,0,0db8a4e1-6050-458b-9203-d7fec9f5cbee,PR-005289-2020,2020,"proposed 88,000 SF bldg",PR-005289-2020,John Rock - Building 2,666667.098084535,3902.14987952428
489,LD-07-20-16407,"Raj Real Estate LLC, 4 Tabas Lane",2020/08/11 10:23:32+00,2020/07/14 16:16:08+00,2022/08/10 00:00:00+00,2022/08/19 00:00:00+00,3.01,5,13297,Commercial,Warehouse,1,,Commercial,Retail,4,,,0,e05f9035-efea-486c-b3ed-ffb13f623849,PR-005290-2020,2020,"proposed 13,297 storage building with 4 retail units",PR-005290-2020,"Raj Real Estate LLC, 4 Tabas Lane",148039.576826959,1630.33582962369
490,LD-07-20-16414,"578 Lancaster Avenue, 4 Midland Avenue, 5 Woodside Avenue",2020/08/21 00:00:00+00,2020/07/22 11:16:14+00,,,1.61,1,5551,Commercial,Retail,1,,,,0,,,0,343bf119-9337-4f2e-9cff-175447126f61,PR-005292-2020,2020,"convenience store with gas pumps, and parking",PR-005292-2020,"578 Lancaster Ave, 4 Midland Ave, 5 Woodside Ave",71804.1036749378,1723.00034908335
491,LD-07-20-16420,215-219 West Lancaster Avenue,2020/08/20 00:00:00+00,2020/07/24 00:00:00+00,,,1.02,1,0,Commercial,Retail,1,,,,0,,,0,4007a84c-7fcc-41fe-8c38-83908a6cd7ca,PR-005294-2020,2020,parking lot with 17 new spaces,PR-005294-2020,215-219 West Lancaster Avenue,40154.9865516129,802.20554598222
492,LD-07-21-16804,Malvern Institute 2nd Story Building Addition,2021/07/27 00:00:00+00,2021/06/29 08:50:36+00,,,10.5,1,5400,Institutional,Medical Building,1,,,,0,,,0,c33debcf-70db-4d25-9942-c1b98798e7c6,PR-005456-2021,2021,"proposed 5,400 SF second floor addition to existing facility",PR-005456-2021,Malvern  Institute 2nd Story,408949.202610298,3194.78570657355
493,LD-07-21-16808,Clover Mill Townhomes,2021/07/22 00:00:00+00,2021/07/07 09:21:12+00,,,18.58,139,0,Residential,Townhouse,139,,,,0,,,0,4d127695-eb35-4012-9b58-6976aaefac7b,PR-005459-2021,2021,proposed 139 units,PR-005459-2021,Clover Mill Townhomes,680275.087314065,5395.76606672787
494,LD-07-21-16810,Improvements Construction Plan Preliminary/Final Land Development Plan for Premier Motor Group LLC,2021/08/02 00:00:00+00,2021/07/12 13:35:03+00,2022/01/19 00:00:00+00,2022/01/21 00:00:00+00,0.538,1,2412,Commercial,Unique,1,Car Repair shop,,,0,,,0,0745a00e-5cae-4863-8624-23a2efe1a0c6,PR-005462-2021,2021,New Service Center Building for adjacent Premier Motor Group Sales Office,PR-005462-2021,"Premier Motor Group, LLC",36776.8393369399,964.618747534451
495,LD-07-21-16811,224 Hall Street,2021/08/04 11:40:10+00,2021/07/12 10:08:05+00,2022/05/27 00:00:00+00,2022/05/27 00:00:00+00,0.3444,15,0,Residential,Apartment,15,,,,0,,,0,17e70c65-a7b9-4af6-8e40-fa62b7f77803,PR-005463-2021,2021,Proposed 15 apartments,PR-005463-2021,224 Hall Street,14209.5887556337,484.222223212252
496,LD-07-21-16818,Radley Run Country Club Clubhouse Improvements,2021/08/12 10:43:48+00,2021/07/13 10:53:50+00,2021/12/06 00:00:00+00,2022/02/08 00:00:00+00,97.28,1,8000,Commercial,Sports/Recreation ,1,,,,0,,,0,97f441d7-b626-45e2-bd7a-94a16ff52fbb,PR-005394-2021,2021,"Proposed 8,000 SF golf house building",PR-005394-2021,Radley Run Country Club Clubhouse,4320733.91533604,15917.8305513871
497,LD-07-21-16824,Traditions of America,2021/08/12 00:00:00+00,2021/07/16 12:21:55+00,,,104.5,148,0,Residential,Single Family Residential,146,Age Restricted,Residential,Single Family Residential,1,Residential,Single Family Residential,1,14ff2f93-a4ed-4336-ae98-1eeaa3ea1e59,PR-005467-2021,2021,146 Age Restricted SFR,PR-005467-2021,Traditions of America,8008375.58022375,19749.4250283177
498,LD-07-21-16830,Odessa Development & Northern Relief Road,2021/09/07 16:05:36+00,2021/08/09 13:08:31+00,,,14.01,182,0,Residential,Townhouse,182,, ,,0,,,0,e7a9eb83-3aae-429a-9ed5-92b137c26b32,PR-005268-2020,2021,"182 Townhouse units & 199 units in Apartment building, and parking proposed for 422 vehicles",PR-005268-2020,Odessa Development & Northern Relief Road ,603548.723773434,4042.1065324399
499,LD-07-21-16831,Phoenix Wheel,2021/08/24 11:37:41+00,2021/07/26 13:55:06+00,,,1,1,0,Commercial,Unique,1,Sculpture, , ,0,,,0,119f081f-75d9-4d28-930c-09e25d44bfa9,PR-005469-2021,2021,Installation of the Phoenix Wheel on site.,PR-005469-2021,Phoenix Wheel,32270.61974672,953.205586740468
500,LD-07-21-16834,Great Valley School District New 5/6 Center,2021/09/01 14:30:58+00,2021/08/02 11:39:28+00,,,46.6152,2,160000,Institutional,Educational Facility,2,,,,0,,,0,9e3b5652-d272-4b11-9997-78bd9210918c,PR-005472-2021,2021,"Proposed 160,000 square foot 5th/6th grade school building",PR-005472-2021,GVSD New 5/6 Center,1984129.92313892,8566.31181250823
501,LD-07-21-16836,Ship Run (Phase 2),2021/08/26 10:54:40+00,2021/07/28 14:21:16+00,2022/08/24 00:00:00+00,2022/09/09 00:00:00+00,18.936,69,5590,Commercial,Convenience Store,1,,Residential,Townhouse,68,,,0,2fdd6d8d-b2c4-454e-b10c-53d51ba7e247,PR-005393-2021,2021,"Convenience store with automotive fuel service, and 68 townhouse units.",PR-005393-2021,Ship Run,4177897.10813886,9523.64671645583
502,LD-07-21-16837,Coventry Chase Townhomes (Painter Tract B),2021/08/11 00:00:00+00,2021/07/27 14:59:23+00,,,42.3,112,0,Residential,Townhouse,112,,,,0,,,0,2932bab6-737e-4971-ac1b-7e2bf3c72f5c,PR-005470-2021,2021,proposed 112 townhomes,PR-005470-2021,Coventry Chase Townhomes (Painter Tract B),1832474.37581893,6549.57561626627
503,LD-07-22-17259,NSEC Sports Complex,2022/08/05 00:00:00+00,2022/07/07 09:16:46+00,,,24.76,2,245000,Commercial,Sports/Recreation ,1,,Commercial,Hotel/Resort/Inn,1,,,0,447fe190-aecb-42d0-b91b-9d05ea7eded0,PR-005651-2022,2022,"proposed 245,000 SF sports building",PR-005651-2022,NSEC Sports Complex,1062918.1291344,5419.54956461334
504,LD-07-22-17265,Jenner's Commons Minor Land Development,2022/07/27 00:00:00+00,2022/07/19 15:15:09+00,,,7.3,1,0,Commercial,Parking Lot/Garage,1,, , ,0,,,0,171d903b-ccd4-498b-a446-fc1b958c5eb7,PR-005654-2022,2022,Proposed driveway connection between Jenner's Commons parking lot and Waltman Way.,PR-005654-2022,Jenner's Commons - Minor Land Development,300422.462379002,2326.83096124488
505,LD-07-22-17275,CCIU Toddler Center,2022/08/01 00:00:00+00,2022/07/19 10:52:22+00,2023/03/09 00:00:00+00,2023/03/14 00:00:00+00,18.8,2,3300,Institutional,Educational Facility,2,,,,0,,,0,53a8dcd8-7dd6-4cb6-bc7c-4dd09a37cffb,PR-005658-2022,2022,"Proposed 3,300 SF bldg.",PR-005658-2022,Proposed Toddler Center,1303795.98766804,7855.241043968
506,LD-07-22-17279,DROGGS MMA Facility,2022/08/19 00:00:00+00,2022/08/01 10:50:31+00,2023/05/19 00:00:00+00,2023/06/13 00:00:00+00,3.69,1,6000,Commercial,Sports/Recreation ,1,,,,0,,,0,0fee5ee4-3490-4780-b4b6-647b312be041,PR-005661-2022,2022,"proposed 6,000 SF facility",PR-005661-2022,DROGGS MMA Facility,141520.390271398,1498.56217214722
507,LD-07-22-17286,Buckwalter LD,2022/08/11 00:00:00+00,2022/07/26 11:22:27+00,2022/11/07 00:00:00+00,2023/03/21 00:00:00+00,0.64,4,0,Residential,Twin,4,,,,0,,,0,d306cc21-5da0-418e-ae55-b31ba982ea6c,PR-005668-2022,2022,Project proposes two two family duplexes with associated driveway and utilities in Spring City Borough,PR-005668-2022,Buckwalter LD,21216.8892542408,613.980179203012
508,LD-07-23-17737,Chucktown LLC,2023/07/26 00:00:00+00,2023/07/11 13:22:23+00,,,0.79,1,5100,Commercial,Office Building,1,Flex space office/warehouse, , ,0,,,0,bf1e6676-6b0f-4e39-ac95-b8648774ca62,PR-005855-2023,2023,"5,100 SF building. Office/Warehouse",PR-005855-2023,"Chucktown, LLC",36764.0263686718,863.066869925168
509,LD-07-23-17739,Honey Brook Community Library,2023/08/03 00:00:00+00,2023/07/10 14:34:23+00,2024/04/01 00:00:00+00,2024/04/18 00:00:00+00,2.2,1,3759,Institutional,Addition to Existing,1,,,,0,,,0,de4fccc2-c064-44fc-bd4e-d48b6c41205a,PR-005856-2023,2023,"3,759 SF building addition. Preliminary / Final Land Development Plan for Honey Brook Community Library",PR-005856-2023,Honey Brook Community Library,96701.9899393157,1289.49711895809
510,LD-07-23-17749,Longwood Gardens Terrace Accessory Concession/Restroom Building,2023/08/10 00:00:00+00,2023/07/18 12:43:00+00,2023/08/07 00:00:00+00,2024/01/29 00:00:00+00,315.1,1,1564,Commercial,Unique,1,,,,0,,,0,2c772256-c420-4ec4-9182-a324c7d29963,PR-005860-2023,2023,Terrace Concession/Restroom Building,PR-005860-2023,Longwood Gardens Terrace Concession/Restroom Bldg,13526221.3950958,15859.0016139265
511,LD-07-23-17751,Beaver Creek Elementary School,2023/08/15 00:00:00+00,2023/07/18 09:52:42+00,2024/01/02 00:00:00+00,2024/05/14 00:00:00+00,13.91,1,26544,Institutional,Addition to Existing,1,3 building additions to school,,,0,,,0,46809ff9-d46e-48f4-a039-efea8db7b2b8,SUB-11445,2023,"3 bldg additions, 26,544 SF and parking. Preliminary & Final Land Development Plan of Beaver Creek Elementary",SUB-11445,BEAVER CREEK ELEMENTARY SCHOOL LD,576538.174552748,3080.18794393914
